[raw_daily / RAW]
datetime,open,high,low,close,volume
[/raw_daily / RAW]
[updown_bb / WAVE_S]
datetime,open,high,low,close,volume,upbb_u,upbb_m,upbb_l,rsi,stoch
2026-05-12 04:48,114600,119800,114600,116760,124548,120690.88,111355.17,100759.06,55.47,24.12
2026-05-12 09:36,116760,116760,108520,108520,124548,120553.59,111567.23,100925.21,63.14,45.89
2026-05-12 14:24,108520,108520,100280,100280,124548,120594.06,111578.68,100544.78,58.29,48.08
2026-05-12 19:12,100280,105960,99000,105960,124548,120526.1,110888.62,99384.04,46.62,24.27
2026-05-13 00:00,105960,114200,105960,114200,124548,120020.96,109980.2,98904.54,46.62,12.37
2026-05-13 04:48,107000,107000,105200,106520,117278,118846.9,109280.83,99894.09,51.99,17.82
2026-05-13 09:36,106520,109640,106520,109640,117278,117442.09,108577.31,100825.97,51.99,26.02
2026-05-13 14:24,109640,112760,109640,112760,117278,116477.93,108318.47,100844.29,53.71,35.11
2026-05-13 19:12,112760,114400,112760,112920,117278,116509.33,108715.75,100950.08,58.19,53.17
2026-05-14 00:00,112920,112920,109800,109800,117278,116466.54,109169.69,100831.56,59.65,66.75
2026-05-14 04:48,112600,114000,111780,111780,163932,116044.66,109409.24,100826.78,59.65,73.54
2026-05-14 09:36,111780,111780,108160,108160,163932,115233.52,109327.83,100744.97,60.88,86.77
2026-05-14 14:24,108160,108160,104540,104540,163932,113993.12,109239.35,100991.56,53.64,78.2
2026-05-14 19:12,104540,104540,100920,100920,163932,114042.46,109365.96,101637.12,44.78,50.87
2026-05-15 00:00,100920,100920,98800,100300,163932,114762.86,109201.8,101423.35,36.81,25.46
2026-05-15 14:24,111100,111400,105800,105800,134901.6,114996.27,108828.59,100625.67,36.81,15.1
2026-05-16 04:48,105800,105800,99900,99900,134901.6,115211.52,108660.38,99838.3,45.28,23.84
2026-05-16 19:12,99900,99900,94000,94000,134901.6,115423.36,108116.75,97622.37,36.89,18.77
2026-05-17 09:36,94000,94500,91300,94500,134901.6,115780.81,106982.58,94583.2,28.87,12.25
2026-05-18 00:00,94500,100400,94500,100400,134901.6,116357.46,105714.78,92602.89,27.65,10.17
2026-05-18 04:48,97800,97800,93700,93700,115621.4,115706.4,104361.54,91250.05,26.29,6.13
2026-05-18 09:36,93700,93700,91300,93000,115621.4,114440.95,102967.05,90291.87,26.29,4.25
2026-05-18 14:24,93000,97100,93000,97100,115621.4,113009.2,101550.1,89796.45,23.19,6.19
2026-05-18 19:12,97100,101200,97100,101200,115621.4,111217.33,100379.75,89418.37,23.19,7.46
2026-05-19 00:00,101200,102000,98700,98700,115621.4,109885.86,99730.18,89484.03,34.85,17.77
2026-05-19 04:48,99700,99700,96700,97200,182149,108131.03,99083.19,90172.66,34.97,23.04
2026-05-19 09:36,97200,100700,97200,100700,182149,105757.67,98272.96,91651.47,37.11,33.12
2026-05-19 14:24,100700,104200,100700,104200,182149,103383.18,97806.98,92113.52,38.77,61.7
2026-05-19 19:12,104200,107400,104200,107100,182149,103660.93,97987.97,91669.36,49.51,80.85
2026-05-20 00:00,107100,107100,103600,103600,182149,105310.32,98493.8,90803.99,58.44,90.43
2026-05-20 04:48,101100,101340,97200,101340,307412.4,106547.84,99091.37,90852.5,58.64,95.21
2026-05-20 09:36,101340,109380,101340,109380,307412.4,107796.29,99557.15,91599.68,52.57,90.19
2026-05-20 14:24,109380,117420,109380,117420,307412.4,110461.86,100529.04,92611.04,62.9,95.09
2026-05-20 19:12,117420,125460,117420,125460,307412.4,115523.04,102021.51,93211.34,73.4,97.55
2026-05-21 00:00,125460,129500,125460,125500,307412.4,121374.42,103913.88,92053.35,80.73,98.77
2026-05-21 04:48,110000,114200,109100,114200,160800.2,125250.73,105835.89,91236.59,81.03,99.39
2026-05-21 09:36,114200,120200,114200,120200,160800.2,126747.35,107716.13,91803.24,81.03,99.69
2026-05-21 14:24,120200,126200,120200,126200,160800.2,128607.51,109702.54,93141.77,82.45,99.85
